"","lsoa11","samhi_dec","area_population_density_density_number_of_persons_per_hectare_measures_value","imd_score","single_hc"
"5031","E01005168",3,40.3,15.06778,0.247126436781609
"5032","E01005169",5,18.3,10.57192,0.277207392197125
"5033","E01005170",2,21.7,13.08018,0.236301369863014
"5034","E01005171",4,31.7,21.35361,0.305203938115331
"5035","E01005172",7,51.7,19.8927,0.438356164383562
"5036","E01005173",5,18.9,17.73975,0.351351351351351
"5037","E01005174",2,76,6.437234,0.293269230769231
"5038","E01005175",6,68.4,18.56421,0.297258297258297
"5039","E01005176",3,65.8,13.17913,0.354700854700855
"5040","E01005177",5,72.2,11.99637,0.357698289269051
"5041","E01005178",8,92.8,43.8591,0.262803234501348
"5042","E01005179",5,70.7,28.12709,0.436516264428122
"5043","E01005180",9,35.8,56.27668,0.347826086956522
"5044","E01005181",7,52.6,25.51108,0.266471449487555
"5045","E01005182",7,79.2,42.28005,0.202558635394456
"5046","E01005183",9,62.5,52.50571,0.305970149253731
"5047","E01005184",3,50.5,24.32121,0.304236200256739
"5048","E01005185",1,172.3,14.41675,0.198501872659176
"5049","E01005186",10,32.3,53.40002,0.334391534391534
"5050","E01005187",9,126.8,43.89701,0.331639135959339
"5051","E01005188",8,25.3,38.29504,0.298719772403983
"5052","E01005189",10,45.1,73.0238,0.472154963680387
"5053","E01005190",9,91,46.5248,0.356413166855846
"5054","E01005191",10,112,48.1095,0.4175
"5055","E01005192",8,24.2,37.86642,0.349042709867452
"5056","E01005193",8,61.7,40.55176,0.367970660146699
"5057","E01005194",8,104.5,50.41211,0.311702127659574
"5058","E01005195",10,46.1,64.80466,0.262585034013605
"5059","E01005196",9,49.4,71.95214,0.303131991051454
"5060","E01005197",10,53.5,66.10025,0.42180774748924
"5061","E01005198",10,55.5,67.38844,0.409861325115562
"5062","E01005199",8,166.5,35.75434,0.300558659217877
"5063","E01005200",10,34.2,49.38591,0.354712041884817
"5064","E01005201",10,88.2,56.63018,0.308823529411765
"5065","E01005202",10,21.8,63.39376,0.372924648786718
"5066","E01005203",10,29.6,72.14747,0.48975188781014
"5067","E01005205",10,42.8,68.881,0.422625400213447
"5068","E01005206",10,50.3,42.04568,0.373493975903614
"5069","E01005207",9,76.1,42.78532,0.312117503059976
"5070","E01005208",4,50.6,34.565,0.334234234234234
"5071","E01005209",7,34,38.13151,0.440092165898617
