"","lsoa11","samhi_dec","area_population_density_density_number_of_persons_per_hectare_measures_value","imd_score","single_hc"
"4758","E01004882",9,58.2,14.68785,0.303030303030303
"4759","E01004883",8,29.6,13.70793,0.280701754385965
"4760","E01004884",6,2.6,14.578,0.274452554744526
"4761","E01004885",5,7,10.4823,0.183018867924528
"4762","E01004886",10,58.3,31.01077,0.359016393442623
"4763","E01004887",10,21.2,29.51187,0.320388349514563
"4764","E01004888",10,35.2,16.82742,0.274368231046931
"4765","E01004889",9,43.8,23.97892,0.300986842105263
"4766","E01004890",8,45.5,17.24477,0.362555720653789
"4767","E01004891",3,14.7,14.02644,0.382275132275132
"4768","E01004892",4,4.4,12.57029,0.29004329004329
"4769","E01004893",2,15.3,4.840709,0.16722972972973
"4770","E01004894",4,36.8,17.69354,0.306148055207026
"4771","E01004895",9,50.1,28.62564,0.329931972789116
"4772","E01004896",7,28.3,10.05054,0.192446043165468
"4773","E01004897",4,14.1,17.17162,0.261603375527426
"4774","E01004899",6,10.3,21.13964,0.260450160771704
"4775","E01004900",5,62.8,18.00202,0.243589743589744
"4776","E01004901",3,51.1,6.661471,0.207036535859269
"4777","E01004902",9,38.2,35.99887,0.384039900249377
"4778","E01004903",5,27.5,12.28848,0.208695652173913
"4779","E01004904",7,8.4,19.87437,0.28735632183908
"4780","E01004905",9,46.6,31.14432,0.304860088365243
"4781","E01004906",10,27,41.08327,0.440740740740741
"4782","E01004907",8,40.3,33.58389,0.292051756007394
"4783","E01004908",6,6.7,22.75243,0.264912280701754
"4784","E01004909",8,39.7,32.47237,0.357594936708861
"4785","E01004910",6,19.3,18.92173,0.351546391752577
"4786","E01004911",8,50.3,36.46085,0.412080536912752
"4787","E01004912",5,24.9,23.38588,0.214953271028037
"4788","E01004913",5,45.7,23.51942,0.268229166666667
"4789","E01004914",6,25.6,12.6239,0.215799614643545
"4790","E01004915",5,26.6,13.18759,0.192164179104478
"4791","E01004916",7,33.8,30.10225,0.355855855855856
"4792","E01004917",6,11.8,24.52408,0.271576524741082
"4793","E01004918",3,61.5,10.68287,0.225
"4794","E01004919",7,37.7,9.594225,0.286585365853659
"4795","E01004920",9,34.2,24.82317,0.287234042553192
"4796","E01004921",9,67.6,19.41063,0.352781546811398
"4797","E01004922",9,61.2,37.18862,0.361290322580645
"4798","E01004923",7,94.1,20.70634,0.312217194570136
"4799","E01004924",5,2.5,13.4766,0.201986754966887
"4800","E01004925",6,71.6,12.66287,0.298761609907121
"4801","E01004926",10,58.6,59.63085,0.307843137254902
"4802","E01004927",10,30.4,65.14271,0.43452380952381
"4803","E01004928",10,76.8,38.2688,0.400584795321637
"4804","E01004929",9,34.7,39.77372,0.354094579008074
"4805","E01004930",7,33.9,16.90631,0.260061919504644
"4806","E01004931",10,46.2,42.26982,0.409387222946545
"4807","E01004932",9,29,37.14541,0.338912133891213
"4808","E01004933",6,17.4,13.43261,0.298769771528998
"4809","E01004934",7,14,24.3208,0.1875
"4810","E01004935",4,37.5,14.19872,0.222695035460993
"4811","E01004936",5,33.6,11.94065,0.326315789473684
"4812","E01004937",3,7.3,9.153808,0.155913978494624
"4813","E01004938",8,51.6,49.04725,0.349683544303797
"4814","E01004939",9,22.3,26.37156,0.330903790087464
"4815","E01004940",6,57.4,16.10955,0.238636363636364
"4816","E01004941",7,35.7,30.12158,0.305785123966942
"4817","E01004942",9,68,55.3418,0.363067292644757
"4818","E01004943",7,53.7,28.79963,0.26
"4819","E01004944",4,67.5,13.19647,0.206349206349206
"4820","E01004945",6,4.1,12.63051,0.249240121580547
"4821","E01004946",9,41.9,45.16071,0.457393483709273
"4822","E01004947",8,69.8,27.88679,0.390505359877489
"4823","E01004948",10,19.6,33.63657,0.450956937799043
"4824","E01004949",3,34.9,7.151461,0.196308724832215
"4825","E01004950",3,11.1,7.780978,0.199346405228758
"4826","E01004951",6,54.4,7.583055,0.232771822358346
"4827","E01004952",5,39.7,8.675294,0.231017770597738
"4828","E01004953",6,30.9,7.444451,0.278662420382166
"4829","E01004954",9,11.4,25.21133,0.340425531914894
"4830","E01004955",9,31.9,32.25214,0.298181818181818
"4831","E01004956",10,10.1,34.85128,0.387931034482759
"4832","E01004957",10,25,49.93698,0.389913899138991
"4833","E01004958",10,55.1,43.09446,0.417549167927383
"4834","E01004959",9,75.3,34.70301,0.350274725274725
"4835","E01004960",10,39.8,68.52275,0.357594936708861
"4836","E01004961",7,42,18.64153,0.268933539412674
"4837","E01004962",7,56.2,17.15241,0.286723163841808
"4838","E01004963",7,26.9,15.109,0.306092124814265
"4839","E01004964",8,45.8,22.86742,0.358173076923077
"4840","E01004965",5,13.3,9.359897,0.193415637860082
"4841","E01004966",7,27.4,31.24326,0.257301808066759
"4842","E01004967",2,33.6,10.09571,0.152542372881356
"4843","E01004968",6,52.5,8.456122,0.194577352472089
"4844","E01004969",10,5.6,36.86604,0.463829787234043
"4845","E01004970",4,27.7,10.68154,0.214876033057851
"4846","E01004971",3,61.6,9.51385,0.209030100334448
"4847","E01004972",8,77.1,35.8129,0.277486910994764
"4848","E01004973",7,72.3,14.71051,0.300911854103343
"4849","E01004974",4,50.1,11.29161,0.303482587064677
"4850","E01004975",7,70,20.14885,0.420079260237781
"4851","E01004976",9,47.1,25.65828,0.308777429467085
"4852","E01004977",9,39.3,27.84624,0.378096479791395
"4853","E01004978",8,47.7,28.974,0.279816513761468
"4854","E01004979",10,22.7,55.41481,0.382539682539683
"4855","E01004980",8,65.9,34.89896,0.417785234899329
"4856","E01004981",7,5.6,17.3525,0.311708860759494
"4857","E01004982",8,10.8,9.767215,0.261417322834646
"4858","E01004983",5,37.6,19.06645,0.273394495412844
"4859","E01004984",5,54.5,8.631194,0.308900523560209
"4860","E01004985",3,3.9,6.622966,0.197573656845754
"4861","E01004986",8,17.9,24.51046,0.39454094292804
"4862","E01004987",10,43.7,50.94666,0.533127889060092
"4863","E01004988",6,32.7,19.67629,0.293563579277865
"4864","E01004989",6,38.5,7.845957,0.246913580246914
"4865","E01004990",8,54.8,25.90653,0.321766561514196
"4866","E01004991",5,20.1,21.89353,0.253401360544218
"4867","E01004992",9,19.5,27.93273,0.324960753532182
"4868","E01004993",7,26.2,23.26823,0.279491833030853
"4869","E01004994",8,19,37.73095,0.405537459283388
"4870","E01004995",7,14.9,18.89841,0.209375
"4871","E01004996",10,59.9,45.49355,0.443228454172367
"4872","E01004997",7,55.9,21.71809,0.249158249158249
"4873","E01004998",9,29,16.02786,0.280811232449298
"4874","E01004999",6,7.5,23.63889,0.238255033557047
"4875","E01005000",6,13.7,8.408766,0.18815331010453
"4876","E01005001",4,56.2,8.534733,0.121703853955375
"4877","E01005002",8,64.9,14.81998,0.223622047244094
"4878","E01005003",8,93.3,23.20888,0.35474006116208
"4879","E01005004",10,49.4,57.68095,0.591283863368669
"4880","E01005005",6,4,17.41043,0.32120253164557
"4881","E01005006",6,8.6,18.86452,0.268933539412674
"4882","E01005007",8,24.8,14.06173,0.385915492957746
"4883","E01005008",9,43,45.28762,0.392
"4884","E01005009",10,29.6,40.27036,0.451482479784367
"4885","E01005010",6,6.4,22.58683,0.231818181818182
"4886","E01005011",4,24.6,7.649589,0.292020373514431
"4887","E01005012",9,23.4,33.48049,0.35364238410596
"4888","E01005013",8,47,34.61337,0.29602510460251
"4889","E01005014",6,24.4,14.81437,0.388739946380697
"4890","E01005015",9,7.6,25.68018,0.332848837209302
"4891","E01005016",4,40,8.708945,0.352367688022284
"4892","E01005017",6,14.6,10.95831,0.268741159830269
"4893","E01005018",7,34.1,15.69644,0.366058906030856
"4894","E01005019",4,29.5,8.238127,0.238709677419355
"4895","E01005020",4,30.6,4.267782,0.110453648915187
"4896","E01005021",4,1.8,11.81957,0.219512195121951
"4897","E01005022",3,5.2,8.296759,0.218944099378882
"4898","E01005023",7,33.4,15.42538,0.306859205776173
"4899","E01005024",10,19,57.29333,0.332681017612524
"4900","E01005025",7,17.4,18.38465,0.362043795620438
"4901","E01005026",5,69.4,37.58967,0.245871559633028
"4902","E01005027",8,25.8,32.00779,0.389344262295082
"4903","E01005028",9,64.5,41.45919,0.386052303860523
"4904","E01005029",6,74.2,24.30121,0.266666666666667
"4905","E01005030",9,41,40.8873,0.418826739427012
"4906","E01005031",8,38.9,25.31276,0.315789473684211
"4907","E01005032",10,15.1,44.91461,0.424474187380497
"4908","E01005033",6,32,12.70594,0.296416938110749
"4909","E01005034",10,22.6,26.64862,0.353125
"4910","E01005035",6,6.7,21.591,0.324281150159744
"4911","E01005036",9,43.9,26.85085,0.548543689320388
"4912","E01005037",6,51,11.71909,0.326433121019108
"4913","E01005038",2,53.6,8.268515,0.212806026365348
"4914","E01005039",10,53.8,31.14935,0.391988555078684
"4915","E01005040",9,71.4,19.15595,0.280172413793103
"4916","E01005041",5,48.7,15.9994,0.190751445086705
"4917","E01005042",8,57.3,15.12154,0.226973684210526
"4918","E01005043",3,84.2,15.32173,0.141129032258065
"4919","E01005044",7,124.5,20.02687,0.225053078556263
"4920","E01005045",7,50.9,20.53218,0.30791788856305
"4921","E01005046",6,29.7,6.717923,0.272161741835148
"4922","E01005047",7,2.2,12.17382,0.200704225352113
"4923","E01005048",5,20.6,2.235156,0.172672672672673
"4924","E01005049",5,12.1,7.313732,0.266937669376694
"4925","E01005050",6,35.5,11.74373,0.244200244200244
"4926","E01005051",9,24.9,15.39441,0.302431610942249
"4927","E01005052",6,61.6,7.478264,0.194158075601375
"4928","E01005053",7,21.1,13.81672,0.26875
"4929","E01005054",5,4.4,16.41773,0.274570982839314
"4930","E01005055",3,39.1,9.994493,0.208904109589041
"4931","E01005056",3,29.6,9.086201,0.365894039735099
"4932","E01005057",3,26.6,16.10522,0.266666666666667
"4933","E01005058",3,50,6.880723,0.205940594059406
"4934","E01005059",8,28.5,29.7769,0.34924965893588
"4935","E01005060",7,18.1,16.27311,0.306539509536785
"4936","E01005061",10,19.1,53.71364,0.473755047106326
"4937","E01005062",6,49.3,38.88773,0.347150259067358
"4938","E01005063",10,52.2,53.54019,0.364820846905537
"4939","E01005065",10,33.8,67.70305,0.381004366812227
"4940","E01005066",6,88.8,23.71661,0.558882235528942
"4941","E01005067",10,34.3,76.09393,0.40885860306644
"4942","E01005068",10,48.8,58.5532,0.387784090909091
"4943","E01005069",8,41.9,16.75526,0.296411856474259
"4944","E01005070",10,20.8,50.74395,0.372972972972973
"4945","E01005071",10,49.2,45.94758,0.361111111111111
"4946","E01005072",10,59.2,47.41075,0.438964241676942
"4947","E01005073",10,35.7,23.82143,0.289430894308943
"4948","E01005074",10,33.4,45.17892,0.352484472049689
"4949","E01005075",10,17,42.86795,0.374183006535948
"4950","E01005076",6,91.7,23.33615,0.460358056265985
"4951","E01005077",10,36.6,54.58519,0.296825396825397
"4952","E01005078",4,39.6,22.58879,0.524271844660194
"4953","E01005079",8,35.7,31.84634,0.297770700636943
"4954","E01005081",10,42.2,65.27309,0.408163265306122
"4955","E01005082",10,20,48.34598,0.321699544764795
"4956","E01005083",5,46.9,14.76535,0.495495495495495
"4957","E01005084",6,23.2,34.94167,0.311418685121107
"4958","E01005085",10,53.4,57.02883,0.258764607679466
"4959","E01005086",10,73.1,65.61906,0.275524475524476
"4960","E01005087",10,70.3,66.88128,0.215909090909091
"4961","E01005088",10,48.3,69.50332,0.2882096069869
"4962","E01005089",10,65.9,58.07871,0.286123032904149
"4963","E01005090",10,48.7,68.03616,0.432214765100671
"4964","E01005091",10,78.9,69.62566,0.294117647058824
"4965","E01005092",10,62.9,55.23708,0.388888888888889
"4966","E01005093",10,55.5,61.0796,0.293510324483776
"4967","E01005094",10,35.7,50.3625,0.383333333333333
"4968","E01005097",10,33.2,67.66063,0.276923076923077
"4969","E01005098",10,45.4,46.99022,0.478764478764479
"4970","E01005099",10,28.3,69.20449,0.267217630853994
"4971","E01005100",10,19.5,41.20172,0.300911854103343
"4972","E01005101",10,41.6,46.07382,0.325034578146611
"4973","E01005102",10,75,27.5626,0.335463258785943
"4974","E01005103",10,36.6,48.59032,0.455089820359281
"4975","E01005104",10,33.7,58.84951,0.422802850356295
"4976","E01005105",9,34.8,62.77289,0.304079110012361
"4977","E01005106",10,18.2,67.86653,0.401212121212121
"4978","E01005107",10,25,60.83589,0.356756756756757
"4979","E01005108",10,35.3,66.65527,0.314339981006648
"4980","E01005111",10,54.1,40.30097,0.329581993569132
"4981","E01005112",10,21.7,49.33912,0.276627218934911
"4982","E01005113",10,62,55.05766,0.526506024096386
"4983","E01005114",7,33.2,17.90434,0.344444444444444
"4984","E01005115",10,54.2,38.47181,0.24968152866242
"4985","E01005116",9,45.6,31.21248,0.396711202466598
"4986","E01005117",10,20.7,60.09851,0.414712153518124
"4987","E01005118",6,68.5,24.35485,0.191146881287726
"4988","E01005119",10,53,53.12128,0.321144674085851
"4989","E01005120",8,82.7,32.33575,0.257186081694402
"4990","E01005121",10,61,51.68637,0.282136894824708
"4991","E01005122",9,48.8,40.70971,0.262090483619345
"4992","E01005123",10,76.1,50.36989,0.236334405144695
"4993","E01005124",10,72.6,55.21923,0.243440233236152
"4994","E01005125",9,69.7,39.69022,0.294488188976378
"4995","E01005126",3,69.9,18.59307,0.288156288156288
"4996","E01005128",1,125.3,22.50686,0.394255874673629
"4997","E01005129",10,33.9,56.2341,0.479548660084626
"4998","E01005130",10,43.1,70.65199,0.516297262059974
"4999","E01005132",10,37.1,55.16267,0.369137670196672
"5000","E01005133",10,38.7,58.51652,0.416107382550336
"5001","E01005135",10,55.7,64.02899,0.253205128205128
"5002","E01005136",10,43.3,37.60826,0.34850863422292
"5003","E01005138",10,38.3,70.7112,0.398983481575604
"5004","E01005139",9,48.6,29.22882,0.292717086834734
"5005","E01005140",10,29,45.0437,0.345147679324895
"5006","E01005141",10,25.7,69.84616,0.44472049689441
"5007","E01005142",10,69.9,60.61487,0.400548696844993
"5008","E01005143",6,148.3,46.55764,0.253787878787879
"5009","E01005145",5,141.6,47.16755,0.207240948813983
"5010","E01005146",8,39.1,44.1132,0.2981220657277
"5011","E01005147",8,45.4,58.20505,0.304157549234136
"5012","E01005149",4,119.5,39.89422,0.151898734177215
"5013","E01005150",8,76.2,31.91534,0.476344086021505
"5014","E01005151",9,78,23.40193,0.467224546722455
"5015","E01005152",4,77.1,13.35747,0.261666666666667
"5016","E01005153",7,94.9,25.09623,0.374390243902439
"5017","E01005154",3,103.7,24.33891,0.304932735426009
"5018","E01005155",3,37.5,14.45006,0.342606149341142
"5019","E01005156",4,55.7,15.58861,0.258267716535433
"5020","E01005157",3,17.9,9.672187,0.228013029315961
"5021","E01005158",7,44.3,37.46173,0.371308016877637
"5022","E01005159",5,64.4,19.69134,0.217391304347826
"5023","E01005160",7,5.2,31.12902,0.355062413314841
"5024","E01005161",9,55.2,24.47575,0.298325722983257
"5025","E01005162",10,59.4,28.44837,0.403534609720177
"5026","E01005163",9,68.7,29.1389,0.334341906202723
"5027","E01005164",10,25.3,50.12648,0.451008645533141
"5028","E01005165",10,56,45.08144,0.523565573770492
"5029","E01005166",10,67.7,43.43932,0.407821229050279
"5030","E01005167",9,46.4,41.42338,0.210619469026549
