lsoa11,samhi_dec,area_population_density_density_number_of_persons_per_hectare_measures_value,single_hc,Unemployment Rate
E01001364,2,141.2,0.263565891,10.4
E01001365,2,47.8,0.159322034,9.2
E01001366,1,112.9,0.152854512,10.4
E01001367,1,86.8,0.223908918,10.4
E01001368,1,133.9,0.109649123,9
E01001369,1,123,0.171428571,11.4
E01001370,1,44.2,0.133458647,11.6
E01001371,1,102.8,0.151515152,10.9
E01001372,1,137.1,0.168356998,10.7
E01001373,1,97.7,0.169902913,9.5
E01001374,1,138.5,0.344099379,4.6
E01001375,1,120.2,0.280453258,3.3
E01001376,5,101.5,0.407806191,6.9
E01001377,1,92.9,0.313370474,3.3
E01001379,1,126.1,0.290550071,2.7
E01001380,1,100.2,0.338582677,3.9
E01001381,1,57.8,0.367208672,6.2
E01001382,2,76.8,0.207446809,3.1
E01001383,1,154.8,0.244712991,6
E01001384,2,151.1,0.314623338,3.2
E01001385,1,105,0.286356822,3.7
E01001386,3,58.1,0.300680272,4.9
E01001387,5,61.5,0.412342216,5.9
E01001388,8,92.1,0.417227456,6.4
E01001389,3,119.5,0.366391185,6.3
E01001390,1,128.3,0.254593176,4.9
E01001391,2,118.1,0.34643377,7.5
E01001392,1,113.9,0.237593985,5.3
E01001393,2,117.7,0.266984505,8.7
E01001394,2,95.8,0.29375,8.7
E01001395,2,66.3,0.259677419,12.1
E01001396,1,95.5,0.234833659,6.2
E01001397,1,64.4,0.301404853,8.4
E01001398,1,79.7,0.179226069,4.2
E01001399,1,59.2,0.168336673,2.9
E01001400,2,63.3,0.250425894,4.9
E01001401,1,89.7,0.259481038,5.9
E01001402,2,52.2,0.250361795,4.4
E01001403,1,43.3,0.31121643,6.5
E01001404,1,28.5,0.207619048,7.9
E01001405,4,61.4,0.444315545,6.3
E01001406,4,79.8,0.30962963,7.1
E01001407,3,15.9,0.203915171,6.5
E01001408,4,113,0.313269494,6
E01001409,5,100.1,0.373449132,10.8
E01001410,9,108.1,0.37615894,14.1
E01001411,3,99,0.276679842,6
E01001412,3,1.3,0.215657312,6.5
E01001413,3,32,0.243464052,3.9
E01001414,7,39.6,0.377001456,10.9
E01001415,1,14.2,0.35155096,6.4
E01001416,2,53.4,0.16722408,4.6
E01001417,1,3.5,0.209650582,2.8
E01001418,3,26.6,0.32859175,7.8
E01001419,1,29.2,0.270780856,6.7
E01001420,2,44.1,0.246045694,8.9
E01001421,3,88.6,0.336134454,9.2
E01001422,1,11.3,0.132379249,3.6
E01001423,2,94.2,0.270606532,11.4
E01001424,2,168.5,0.330645161,14.4
E01001425,2,46.3,0.328358209,16.6
E01001426,1,59.1,0.232484076,14
E01001427,2,13.7,0.297218155,15.1
E01001428,4,106.5,0.299509002,13.7
E01001429,6,98.4,0.452380952,16.1
E01001430,2,161.3,0.228177642,17.8
E01001431,3,114.1,0.319218241,14.6
E01001432,1,124.4,0.267142857,10.7
E01001433,2,54.6,0.16609589,14.8
E01001434,1,89.1,0.234119782,7.8
E01001435,1,94,0.163599182,8.3
E01001436,1,96.5,0.189892802,9.2
E01001437,3,9,0.337373737,13
E01001438,2,60,0.171378092,12.1
E01001439,3,98.9,0.283544304,11.8
E01001440,3,52.2,0.271356784,11
E01001441,2,45.5,0.35321821,13
E01001442,5,146.3,0.260940032,14.7
E01001444,2,48.3,0.227272727,8.8
E01001445,3,16.1,0.329591837,9.1
E01001446,2,100.6,0.301120448,10.8
E01001447,5,104,0.298850575,15.5
E01001448,2,116.3,0.247328244,12.5
E01001449,3,69.4,0.203478261,12
E01001450,3,52.5,0.413419913,7.7
E01001451,2,26.5,0.290468986,4.5
E01001452,1,21.2,0.174180328,3.2
E01001453,1,32.6,0.248108926,6.3
E01001454,2,42.2,0.286363636,4.2
E01001455,1,62.6,0.25989673,4.5
E01001456,1,52.6,0.172557173,2.9
E01001457,3,61.6,0.414786967,4.8
E01001458,4,107.1,0.304216867,15.2
E01001459,1,77.3,0.183453237,8.1
E01001460,2,139.6,0.325757576,12.1
E01001461,5,59.3,0.381895332,14.6
E01001462,2,122.7,0.331450094,11.8
E01001463,1,60.1,0.167641326,9.3
E01001464,2,65.9,0.191943128,9.4
E01001465,1,65.9,0.166007905,11.1
E01001466,1,181.7,0.224193548,11
E01001467,1,177.8,0.187697161,9.6
E01001468,10,17.1,0.345419847,3.3
E01001469,4,73.1,0.252764613,6.2
E01001470,2,8.4,0.27925117,4.1
E01001471,4,47.6,0.486021505,6.8
E01001472,3,67.1,0.360570687,5.4
E01001473,3,18.2,0.175502742,8.6
E01001474,3,45.8,0.354761905,3.3
E01001475,1,50.5,0.220472441,4.6
E01001476,2,82.3,0.232715008,8.7
E01001477,3,27.4,0.210873147,10
E01001478,2,48.4,0.209558824,9.2
E01001479,3,70.7,0.317683881,9.7
E01001480,2,78.5,0.31122449,8.9
E01001481,4,95.9,0.235611511,9.3
E01001482,5,105,0.3,11.4
E01001483,9,20.6,0.522167488,13.1
E01001484,2,41.6,0.273255814,7.3
E01001485,3,143.8,0.288856305,11
E01001486,3,116.6,0.294621027,12.1
E01001487,4,150.5,0.315352697,12.1
E01001488,1,143.2,0.245852187,11.5
E01001489,2,101.2,0.25753012,8.7
E01001491,1,133.3,0.270083102,11.3
E01001492,1,125.7,0.229411765,11.4
E01001493,5,76.1,0.352380952,9.7
E01001494,1,93.7,0.170588235,7.3
E01001495,1,111.3,0.295485636,4.8
E01001496,1,65.2,0.207641196,5.2
E01001497,1,72.6,0.22787194,7.7
E01001498,2,102.1,0.239946381,6.5
E01001499,1,79.2,0.209219858,10.5
E01001500,2,68,0.227436823,5.9
E01001501,2,61,0.393643032,6.6
E01001502,2,66.7,0.257095159,9.2
E01001503,2,108.2,0.218654434,9.3
E01001504,3,85.3,0.198830409,9.9
E01001505,4,88.8,0.222222222,11.8
E01001506,3,8.4,0.23539823,12.9
E01001507,6,69.8,0.349869452,11.7
E01001508,3,93.2,0.284122563,10.5
E01001509,2,119.2,0.319767442,10.2
E01001510,6,99.5,0.336065574,18.2
E01001511,1,45.1,0.223765432,6.4
E01001512,2,93.4,0.367007673,6.8
E01001513,2,18.6,0.253611557,9.4
E01001514,1,129.2,0.262773723,7.7
E01001515,3,150.3,0.305960265,12.8
E01001516,3,55.9,0.223765432,9.1
E01001517,5,104.1,0.288793103,14.4
E01001518,2,31.6,0.25877193,7.1
E01001519,1,70.8,0.360210342,6.6
E01001520,2,47.6,0.280832095,6.8
E01001521,1,36.7,0.267908309,5.3
E01001522,5,88,0.303595206,5.8
E01001523,3,33.4,0.325203252,6.8
E01001524,2,59.4,0.221611722,8.7
E01001525,2,77.1,0.297372061,5.8
E01001526,1,57,0.27543036,6
E01001527,2,39.7,0.305426357,5.3
E01001528,3,69.3,0.27124774,11.6
E01001529,7,92.9,0.34015748,9.4
E01001530,1,61.8,0.209850107,7.9
E01001531,1,65.7,0.222426471,3.8
E01001532,1,61.1,0.266375546,3.3
E01001533,1,47.9,0.164150943,4.8
E01001534,1,40.4,0.214285714,4.7
E01001535,1,37.8,0.182178218,5.5
E01001536,4,39.6,0.305929919,5.7
E01001537,4,92.3,0.279266573,5.4
E01001538,3,65.2,0.189054726,5.2
E01001539,4,76.1,0.266362253,5.2
E01001540,3,68.1,0.34256927,6.6
E01001541,3,82.8,0.344615385,4.4
E01001542,5,85.2,0.349557522,7.4
E01001543,2,80.3,0.181208054,5.2
E01001544,2,52.7,0.242622951,5.5
E01001545,5,53.4,0.261654135,12.5
E01001546,2,74.7,0.2078125,10.6
E01001547,3,70.7,0.265553869,10.7
E01001548,2,60.7,0.25,10.2
E01001549,2,61.6,0.314536341,16.1
E01001550,2,76.3,0.18245614,12.3
E01001551,5,56.6,0.30408472,12.7
E01001552,3,64.3,0.24430956,6.5
E01001553,4,79.7,0.18490566,12.3
E01001554,3,148.3,0.361111111,13.1
E01001555,1,127.4,0.240384615,13.3
E01001556,1,72.8,0.197053407,8.5
E01001557,1,123.2,0.206959707,9.1
E01001558,1,108.4,0.229390681,11.8
E01001559,3,22.2,0.259757739,11.8
E01001560,1,60.5,0.166666667,10.3
E01001562,2,120.4,0.383966245,14.8
E01001563,2,83,0.324364723,5.5
E01001564,2,72,0.281733746,4.8
E01001565,2,73.3,0.356840621,6.3
E01001566,7,86.7,0.274760383,5.4
E01001567,1,51.1,0.256329114,4.8
E01001568,1,17.6,0.148698885,4.9
E01001569,2,59.2,0.318766067,3
E01001570,2,45.6,0.334221039,6.3
E01001571,1,110.7,0.255284553,7.1
E01001572,1,101.6,0.248407643,7.5
E01001573,1,108.9,0.196881092,7.2
E01001574,8,17.6,0.39453125,15.9
E01001575,7,78,0.270450751,12.9
E01001576,7,72.9,0.320668693,14.7
E01001577,7,88,0.366350068,11.3
E01001578,2,78.4,0.286773795,11.8
E01001579,4,65.2,0.291993721,11.3
E01001580,2,55.2,0.397358944,3.3
E01001581,6,81.1,0.46300716,4.6
E01001582,7,43.1,0.366614665,7.4
E01001583,3,54.7,0.426650367,3.2
E01001584,3,47.2,0.406732118,2.7
E01001585,4,85.5,0.281847134,5.1
E01001586,6,69.7,0.409956076,9.1
E01001587,2,69,0.419109663,4.6
E01001588,8,32.5,0.362670713,7.3
E01001589,6,76.1,0.287337662,9.3
E01001590,3,114.3,0.289586305,7.3
E01001591,6,101.1,0.367103695,11.4
E01001592,4,71.8,0.324324324,5.8
E01001593,5,88.3,0.31043956,4
E01001594,8,129.2,0.29750983,9.5
E01001595,6,53.5,0.219336219,11.2
E01001596,2,53.4,0.201005025,3.5
E01001597,5,48.1,0.298187809,5
E01001598,2,34.1,0.247524752,5.3
E01001599,3,37.5,0.216260163,6
E01001600,2,51.5,0.32428356,7.3
E01001601,4,64.6,0.311148087,3.5
E01001602,7,72.9,0.291086351,10.3
E01001603,8,78.7,0.432291667,11
E01001604,1,60.7,0.267605634,3.9
E01001605,1,24,0.168126095,4.4
E01001606,1,77.6,0.210355987,3.4
E01001607,1,69.7,0.26986755,6.9
E01001608,1,30.8,0.331081081,4.9
E01001609,6,47.7,0.436314363,6.7
E01001610,1,75.6,0.29844413,5.8
E01001611,2,82.5,0.354925776,6.7
E01001613,4,21.7,0.442580645,6.6
E01001614,1,15.9,0.175471698,3.9
E01001615,4,15.9,0.457671958,6.5
E01001617,1,22.7,0.384823848,5.9
E01001618,3,46.1,0.288580247,8.2
E01001619,1,58.3,0.311735941,5.9
E01001620,2,61,0.172277228,10.7
E01001621,4,40.7,0.342062193,9.3
E01001623,3,61.3,0.240963855,9.6
E01001624,3,69.1,0.275752773,6.4
E01001625,4,58.5,0.253833049,10.6
E01001629,2,105.9,0.312206573,11.9
E01001631,5,105.2,0.343001261,13.6
E01001632,1,192.4,0.218897638,9.8
E01001633,5,139.5,0.36809816,12.5
E01001634,6,147.6,0.325337331,14.2
E01001635,1,78.8,0.281553398,12.3
E01001636,1,137.9,0.323777403,13.7
E01001637,2,91.8,0.406515581,10.7
E01001638,7,182.1,0.353598015,10.7
E01001640,3,169.6,0.28830874,11.4
E01001641,2,47.2,0.373555841,5.2
E01001642,1,14.9,0.312262958,3.1
E01001644,2,116.1,0.346379648,4.2
E01001645,6,58.5,0.324929972,7.3
E01001646,3,134.1,0.327396098,7.9
E01001647,4,43,0.284467714,7.5
E01001648,4,42,0.341563786,7
E01001649,5,46,0.25659051,7.7
E01001650,6,83.1,0.211382114,7.8
E01001651,7,55.9,0.398160315,10.8
E01001652,6,58.4,0.371512482,4.3
E01001653,7,58.1,0.275409836,12.3
E01001654,7,51.3,0.306799337,10.5
E01001655,8,33.7,0.342229199,11.2
E01001656,6,46.1,0.359106529,6.6
E01001657,3,38.3,0.368804665,4.5
E01001658,2,35.6,0.396957123,7.1
E01001659,3,38.5,0.251417769,6.4
E01001660,4,47.8,0.245733788,11
E01001661,3,33.5,0.241496599,8.2
E01001662,2,68.1,0.264335664,3.6
E01001664,3,120,0.371194379,5.5
E01001665,1,100.2,0.317258883,6.3
E01001666,2,34.1,0.312387792,4.9
E01001667,7,11.5,0.411598303,10.8
E01001668,3,97.9,0.375595806,7.4
E01001669,2,37.2,0.277213353,9.7
E01001671,3,80.6,0.362962963,8.4
E01001672,1,56.9,0.182539683,10.3
E01001673,4,108.4,0.37080292,16.7
E01001674,3,92.1,0.260804769,9.3
E01001675,1,127.6,0.236883943,10.7
E01001676,2,136.3,0.26625387,15.2
E01001677,1,97.1,0.282934132,8.6
E01001678,1,63.7,0.248407643,6.3
E01001679,1,63.2,0.259615385,5.6
E01001680,1,25.9,0.24433657,6.5
E01001681,3,78.5,0.31352459,7.8
E01001682,5,15.3,0.299115044,6.5
E01001683,2,114,0.288495575,10.5
E01001684,2,12.4,0.258467023,9.7
E01001685,1,83.9,0.318032787,9.6
E01001686,4,104.6,0.376792699,11.4
E01001687,3,29,0.381604697,8.9
E01001688,4,73.9,0.282817503,10.5
E01001690,2,141.6,0.441420118,10.3
E01001692,3,187.2,0.302681992,14.7
E01001693,2,114.3,0.332786885,13.1
E01001694,2,43.9,0.274247492,9.7
E01001695,4,162.4,0.391437309,12.7
E01001696,3,95.7,0.33201581,13.3
E01001697,3,137.7,0.290909091,12
E01001698,5,138.1,0.33431085,14.8
E01001699,3,26.9,0.343853821,8.7
E01001700,3,140.8,0.294452347,10.8
E01001701,5,15.9,0.359531773,11.8
E01001702,5,197.6,0.149473684,14.8
E01001703,3,227.5,0.367861886,17.7
E01001704,3,118.1,0.284552846,9.6
E01001705,5,113.2,0.314473684,14.6
E01001706,9,119.5,0.237995825,13.6
E01001708,4,90,0.3109375,10.2
E01001709,8,15.1,0.408906883,13
E01001710,7,197,0.362043796,16.6
E01001711,2,81.2,0.400326797,8.1
E01001712,7,128,0.398930481,12.1
E01001713,5,172.2,0.325471698,17
E01001714,9,99.1,0.359177215,10.3
E01001715,4,172.7,0.407132244,5.9
E01001716,6,164.1,0.458135861,6.8
E01001717,4,125.1,0.229508197,7.4
E01001718,2,172,0.344660194,3.4
E01001719,7,179.1,0.342975207,7.5
E01001720,4,172.4,0.32611465,3.9
E01001722,3,191.7,0.401162791,11.1
E01001723,1,164.5,0.27123696,7.3
E01001724,1,190.5,0.393877551,6.1
E01001725,1,202,0.268760908,11.2
E01001726,1,267.7,0.237068966,14
E01001727,1,179.9,0.244328098,6
E01001728,1,220.5,0.186602871,12.2
E01001729,7,158.4,0.388180765,15.6
E01001730,4,147,0.379525593,16.9
E01001731,2,132.6,0.42303969,11.9
E01001732,4,265.1,0.331896552,18.2
E01001733,4,125.4,0.315263909,9
E01001734,5,135.6,0.400471143,11.3
E01001735,7,122.3,0.316187595,8.5
E01001736,5,184.6,0.326732673,6.7
E01001737,4,183.8,0.281167109,6.3
E01001738,4,193,0.356687898,6.3
E01001739,7,171.3,0.332962138,6.2
E01001740,7,181,0.317307692,13
E01001741,4,171.5,0.285475793,3.5
E01001742,7,144.7,0.348542459,6.4
E01001744,2,139,0.334605598,6.2
E01001745,6,200.4,0.361169102,11.4
E01001746,3,337.3,0.278481013,15.6
E01001747,4,150.2,0.326617179,8
E01001748,4,130.4,0.408256881,8.4
E01001749,3,161.2,0.328398385,6
E01001750,4,126.1,0.304347826,6
E01001751,1,100.7,0.289940828,3.6
E01001752,3,180.5,0.325471698,6.5
E01001753,5,218.1,0.349344978,17.2
E01001754,4,194.5,0.408810573,9.4
E01001755,7,175.6,0.334254144,11.5
E01001756,1,132.9,0.345491388,6.4
E01001757,3,344.8,0.267584098,13.5
E01001758,3,167.1,0.363122172,11.9
E01001759,3,175,0.357333333,11.5
E01001760,5,121.6,0.324183007,11.6
E01001761,5,166,0.463751438,10.1
E01001762,3,124,0.369512195,8.1
E01001763,1,151.2,0.378706199,12.6
E01001764,4,160.6,0.363505747,10.1
E01001765,6,136.6,0.450138504,18.4
E01001767,2,151.4,0.281847134,10.4
E01001768,3,179.4,0.268428373,7.4
E01001769,2,129.1,0.344410876,10
E01001770,6,134.2,0.423469388,13.9
E01001772,6,159.5,0.418300654,15.3
E01001773,4,168.1,0.323255814,10.5
E01001774,3,116.6,0.283428571,8.5
E01001775,5,140.1,0.395256917,13
E01001776,7,141.6,0.40851735,13.3
E01001777,4,152.7,0.350910834,8.2
E01001779,5,175.8,0.424620874,8.9
E01001780,7,166.4,0.450873362,11.7
E01001781,8,110.2,0.378932969,17.3
E01001782,3,168.3,0.359924027,7.6
E01001783,6,309,0.381228273,16.5
E01001784,2,299.1,0.332496863,9.7
E01001785,3,164,0.275922671,11.1
E01001786,3,16.1,0.350069735,15.2
E01001787,5,71.5,0.363057325,17.4
E01001788,4,138.2,0.420895522,17.1
E01001789,5,179.8,0.291021672,9.7
E01001790,7,243.7,0.300813008,16.9
E01001791,2,147.4,0.224,14.6
E01001792,5,101.5,0.290322581,9.8
E01001793,3,105.2,0.304878049,10.6
E01001794,3,149.7,0.277439024,9.1
E01001795,4,144.2,0.316987741,12.8
E01001796,3,179.4,0.423337856,10.5
E01001798,5,169.8,0.36167147,15.5
E01001799,1,149.2,0.245360825,8.1
E01001800,6,188.3,0.415241058,11.2
E01001801,5,112.6,0.379251701,8.7
E01001802,5,123.5,0.348195329,9.2
E01001803,3,113.6,0.301808067,5.5
E01001804,4,137.9,0.219827586,6.7
E01001805,2,81.8,0.31372549,6.9
E01001806,6,47.5,0.371148459,8.5
E01001807,1,154.1,0.357864358,11.8
E01001808,1,144.7,0.268817204,8.1
E01001809,1,173.3,0.303278689,9.7
E01001811,6,177.2,0.390092879,13.5
E01001812,4,70.7,0.333876221,10.9
E01001813,8,127.8,0.358095238,12.8
E01001814,1,145.6,0.271914132,8.8
E01001815,6,162.8,0.375722543,13.7
E01001816,3,119.2,0.284375,9.5
E01001819,6,116,0.337719298,7.9
E01001820,5,172.5,0.343906511,12.6
E01001821,7,212.5,0.408385093,12.8
E01001822,4,212.5,0.385269122,15
E01001823,2,117,0.273234201,14
E01001824,1,70.3,0.309833024,14.5
E01001825,1,150.5,0.219626168,9.4
E01001826,3,154.3,0.312820513,10.7
E01001827,5,111.7,0.398044693,14.4
E01001828,3,185,0.358604091,15.9
E01001829,4,160.8,0.268678161,5.3
E01001830,6,184.5,0.44527897,10.5
E01001831,3,151.5,0.330201342,5.4
E01001832,4,158.7,0.317757009,7.9
E01001833,7,184.6,0.346938776,9.3
E01001834,5,216.5,0.299303944,7.4
E01001835,4,170.6,0.254658385,6.1
E01001836,5,141.6,0.392065344,9.4
E01001837,2,133.6,0.329323308,5.4
E01001838,6,253.4,0.35177305,22.6
E01001839,8,205.5,0.308182784,8.4
E01001840,7,154.3,0.401398601,11.3
E01001841,7,103,0.408945687,9.7
E01001842,5,246,0.305863708,11.3
E01001843,5,167.9,0.304780876,10.5
E01001844,2,128.9,0.395320197,7.4
E01001845,7,140.7,0.405882353,14.2
E01001846,6,22.4,0.398130841,13.6
E01001847,10,106.9,0.34261242,13.2
E01001848,6,109.1,0.383206107,10.3
E01001849,3,47.7,0.334698055,11
E01001850,4,254.6,0.301775148,18.2
E01001851,2,164.7,0.33908046,3
E01001852,3,237.7,0.444560669,4.4
E01001853,4,186.5,0.369784173,4.7
E01001854,3,262,0.448703495,6.7
E01001855,3,218.4,0.444071588,4.8
E01001856,8,202.5,0.365753425,7.7
E01001857,8,209.5,0.446111869,9.9
E01001858,6,143.7,0.415300546,6.3
E01001859,1,236.8,0.353508772,7.7
E01001860,6,204.7,0.418867925,11.3
E01001861,6,199.5,0.374617737,7.9
E01001862,9,193.4,0.41686747,8.6
E01001863,4,184.5,0.347242921,6.1
E01001864,5,212.4,0.437582129,6.9
E01001865,2,143.9,0.313364055,7.2
E01001866,1,105.3,0.376420455,6.4
E01001867,4,154.9,0.433006536,6.2
E01001868,3,224.2,0.396351575,9.2
E01001869,3,57.4,0.367595819,2.9
E01001870,1,190.9,0.449950446,5.2
E01001871,3,122.4,0.414824447,6
E01001872,1,228.3,0.428194993,8.1
E01001873,7,235,0.381712627,7.1
E01001874,3,21.1,0.473084886,7.6
E01001875,3,109.8,0.258258258,11.8
E01001876,3,24.9,0.428057554,9.8
E01001877,4,10.7,0.43615257,9.6
E01001878,5,120.5,0.201652893,12.1
E01001879,4,183.5,0.387045814,7.6
E01001880,2,118.1,0.43989432,5.9
E01001881,3,142.8,0.293685756,3.7
E01001882,1,223.3,0.293447293,4.2
E01001883,4,112.3,0.430517711,5.2
E01001884,6,228.4,0.483351235,5.4
E01001885,9,238.5,0.338289963,16.6
E01001886,4,160.9,0.318471338,8.7
E01001887,5,139.7,0.382978723,5.5
E01001888,2,165.2,0.285714286,4.8
E01001889,2,96.7,0.332209106,4.3
E01001890,1,139.1,0.564210526,3.7
E01001891,1,116.7,0.34414832,3.2
E01001892,5,192.4,0.375206612,8.4
E01001893,5,158.7,0.311507937,9.9
E01001894,8,84.5,0.456810631,9.2
E01001895,3,183.4,0.324925816,5.8
E01001896,4,184.3,0.394618834,4.7
E01001897,3,152,0.329563813,4.7
E01001898,6,55.6,0.387228261,6.6
E01001899,9,110.6,0.445730825,10.9
E01001900,8,131.1,0.365145228,7.2
E01001901,4,192.3,0.342446043,5.1
E01001902,2,234,0.361179361,4.6
E01001903,4,149.5,0.328928047,7.2
E01001904,1,112.5,0.303964758,4.5
E01001905,1,198.6,0.317333333,2.6
E01001906,1,230.2,0.31097561,4.1
E01001907,1,195.1,0.3339254,4.5
E01001908,1,378.7,0.451428571,5.9
E01001909,4,207.3,0.359317905,6.5
E01001910,3,188.5,0.497619048,4.8
E01001911,6,112.7,0.364846871,10.3
E01001912,4,168.4,0.323333333,12.2
E01001913,1,141.9,0.392764858,2.8
E01001914,1,256.4,0.440811725,5.2
E01001915,1,35,0.342105263,4
E01001916,1,38.8,0.42670537,3.4
E01001917,3,134.1,0.400584795,3.3
E01001918,2,145.4,0.282958199,4.8
E01001919,1,113.9,0.317683881,4.4
E01001920,8,91.8,0.549516908,7.4
E01001921,3,156.4,0.36199095,6.8
E01001922,1,84.1,0.329359165,5.3
E01001923,2,130.8,0.343032159,3.9
E01001924,1,162.4,0.283112583,3
E01001925,1,114.7,0.291666667,3.9
E01001926,1,160.7,0.308319739,3.9
E01001927,1,75,0.28545781,5.2
E01001928,5,92,0.342105263,7
E01001929,2,147.7,0.403685092,3.1
E01001930,6,72.9,0.476247031,6
E01001931,7,220,0.420310296,7.4
E01001932,6,90.5,0.384412153,7.1
E01001933,5,72.8,0.417322835,7.1
E01001934,2,89.1,0.344778255,9.1
E01001935,3,190.8,0.316073355,6.2
E01001937,2,93.9,0.3,5.2
E01001938,4,145.9,0.285714286,6.5
E01001939,2,71.4,0.412182741,6.4
E01001940,7,197.7,0.398648649,8.6
E01001941,8,116,0.334728033,6.1
E01001942,4,201.2,0.410404624,7.5
E01001943,7,43.9,0.424309392,7.7
E01001944,8,260.6,0.53164557,16.7
E01001945,3,152.1,0.355437666,5.5
E01001946,3,132.2,0.351851852,7.1
E01001947,6,262.8,0.321489002,13.1
E01001948,1,175,0.378524946,4.4
E01001949,1,192.4,0.29331307,4
E01001950,1,148.1,0.262578616,3.7
E01001951,1,156.7,0.367375887,5
E01001952,2,167.5,0.390605686,4.6
E01001953,2,148,0.354098361,6.8
E01001954,3,173.9,0.345146379,6.9
E01001955,5,82.6,0.259643917,13.6
E01001956,2,118.6,0.268656716,8.6
E01001957,4,222.3,0.267768595,13
E01001958,3,368.1,0.28990228,13.4
E01001959,5,89.2,0.244897959,11.6
E01001960,2,233,0.278666667,4.5
E01001961,1,221.2,0.240740741,14.4
E01001962,1,34.2,0.229329173,5.8
E01001963,1,35.6,0.244573082,6.6
E01001964,2,25.1,0.287856072,5.1
E01001965,2,131.7,0.254185693,4.7
E01001966,1,29.3,0.213084112,4.1
E01001967,3,94.2,0.273301738,3.9
E01001968,1,129.9,0.33933162,4.9
E01001969,2,131.1,0.374562427,10
E01001970,2,93.7,0.254120879,10.3
E01001971,5,158.6,0.321428571,12.5
E01001972,3,80.3,0.384512684,8.8
E01001973,2,56.3,0.30116649,5.5
E01001974,2,124.8,0.349322211,8.5
E01001975,1,146.9,0.364690722,8.2
E01001976,3,157.4,0.308661417,10.3
E01001977,2,174.4,0.302479339,10.7
E01001978,5,144.1,0.398046398,9.9
E01001979,3,112.3,0.304964539,10.9
E01001980,2,179.2,0.2897474,9.2
E01001981,3,181,0.264559068,14
E01001982,3,174.6,0.316568047,9.8
E01001983,3,165.5,0.25,9.6
E01001984,2,79.8,0.476355248,4.6
E01001985,2,89.8,0.404421326,3.7
E01001986,1,121.2,0.369623656,3.5
E01001987,1,60.5,0.289440994,3.7
E01001988,2,102.2,0.429057889,4.4
E01001989,1,60.1,0.342036554,5.2
E01001990,2,140.6,0.356415479,6.4
E01001991,2,135.1,0.419060052,3.8
E01001992,2,42.7,0.293154762,3.2
E01001993,1,61.2,0.257799672,3.6
E01001994,2,52.5,0.303947368,3.7
E01001995,4,57.7,0.229398664,9
E01001996,1,66.5,0.332378223,5.4
E01001997,2,82.8,0.389041096,6
E01001998,2,132.5,0.307514451,6.2
E01001999,3,136.7,0.3003663,6.8
E01002000,1,104.9,0.320289855,5.9
E01002001,1,156.3,0.330871492,6
E01002002,3,27.7,0.350832266,7.1
E01002003,6,97.4,0.377825619,10.1
E01002004,1,159.1,0.267605634,8.2
E01002005,1,179.2,0.353300733,3.3
E01002006,2,145.4,0.383663366,4.5
E01002007,1,99.5,0.372966208,4.5
E01002008,3,24.4,0.33748056,3.3
E01002009,1,72.5,0.351694915,3.3
E01002010,4,27.8,0.305013928,4.2
E01002011,4,26.5,0.345597898,4.2
E01002013,2,115.9,0.277310924,5
E01002014,3,101.3,0.380175659,6.1
E01002015,5,122.4,0.353293413,11.1
E01002016,3,115.9,0.315972222,5.6
E01002017,3,132.2,0.368841545,11.3
E01002018,4,116.9,0.305647841,9
E01002019,1,52,0.204771372,4.2
E01002020,3,53.4,0.354107649,6.3
E01002021,2,79.8,0.313432836,4
E01002022,4,94.1,0.373702422,4.4
E01002023,2,90.3,0.32183908,3.6
E01002024,3,85.2,0.303370787,5.1
E01002025,1,43,0.244776119,4.3
E01002026,8,137.7,0.423347398,15.2
E01002027,2,139.3,0.242753623,7.2
E01002028,2,147.4,0.226356589,9.3
E01002029,5,73.3,0.405405405,8.1
E01002030,3,58.9,0.310030395,8.7
E01002031,5,137.6,0.318062827,8.8
E01002032,5,172.2,0.358366271,9.9
E01002033,3,155.6,0.251057828,13.5
E01002034,7,65.8,0.395807645,19.2
E01002036,5,94.4,0.343799058,16
E01002037,5,23,0.394548063,22.8
E01002038,4,119.1,0.37283237,15.3
E01002039,4,213.2,0.309859155,18.7
E01002040,3,139.2,0.268918919,13
E01002041,3,148.3,0.328804348,14.1
E01002042,2,60.4,0.280961183,6.5
E01002043,2,185.5,0.272237197,8.8
E01002044,2,193.2,0.298701299,7.3
E01002045,2,157.9,0.302615193,13.9
E01002046,3,101.8,0.366863905,9.7
E01002047,2,164.4,0.244932432,5.9
E01002048,2,159.9,0.262318841,9.2
E01002049,2,150.6,0.310638298,9.4
E01002050,1,174,0.17130621,6
E01002051,3,137.4,0.352323838,10.3
E01002052,2,94.4,0.190114068,9.2
E01002053,4,121.9,0.331825038,11.4
E01002054,3,208.9,0.342898135,15.8
E01002055,1,173.4,0.217105263,5.3
E01002056,4,92.6,0.40665874,7
E01002057,1,99.7,0.222621185,8.9
E01002058,3,109.4,0.293685756,8.1
E01002059,4,71.2,0.333802817,8.4
E01002060,3,140.2,0.305373526,4.5
E01002061,2,100.8,0.258890469,4.9
E01002062,2,94.4,0.336842105,4.7
E01002063,3,112.5,0.357643759,6.5
E01002064,4,162.3,0.330246914,7.9
E01002065,4,124.2,0.396319018,5.8
E01002066,4,93.6,0.38028169,11
E01002067,6,117.2,0.375714286,12.8
E01002068,5,61.3,0.319350474,12.5
E01002069,3,121.3,0.440909091,12.9
