lsoa11,samhi_dec,area_population_density_density_number_of_persons_per_hectare_measures_value,single_hc,Unemployment Rate
E01000346,1,46.6,0.2336,3.1
E01000347,1,75.6,0.30420712,4.5
E01000348,1,50.5,0.145315488,3.6
E01000349,1,49.8,0.232307692,3.8
E01000350,1,55.7,0.16890595,3.8
E01000351,1,50.7,0.207792208,3.9
E01000352,2,45.7,0.322485207,4.3
E01000353,1,49.9,0.209969789,2.9
E01000354,3,73.3,0.292134831,5.5
E01000355,3,34.8,0.267536705,3.3
E01000356,2,50,0.22611465,3.3
E01000357,1,72.3,0.139344262,3.9
E01000358,3,54.6,0.247344461,3.8
E01000359,1,62.8,0.196721311,3.9
E01000360,7,37.8,0.302114804,5.2
E01000361,3,54,0.262458472,5.7
E01000362,4,37.6,0.317891374,4.8
E01000363,2,34.4,0.242477876,4
E01000364,3,36.4,0.279569892,3.5
E01000365,7,49.2,0.327142857,4.7
E01000366,3,67.2,0.258015267,4.4
E01000367,7,60.1,0.289256198,11.1
E01000368,4,64.7,0.272151899,7.2
E01000369,2,60.8,0.214057508,5.7
E01000370,2,49,0.252696456,4
E01000371,2,66.8,0.260252366,3.8
E01000372,6,73.3,0.234401349,9.4
E01000373,5,176.9,0.360465116,16.5
E01000374,5,20.6,0.232209738,11.3
E01000375,4,34.4,0.242477876,8.1
E01000376,2,28,0.254125413,5.5
E01000377,1,33,0.342064715,4.4
E01000378,3,16.8,0.411157025,4.9
E01000379,2,51.8,0.292609351,6.4
E01000380,4,64.7,0.486807388,5.5
E01000381,4,7.8,0.313636364,4.3
E01000382,1,26.1,0.218057922,3.4
E01000383,2,5.4,0.278041074,5
E01000384,2,57.4,0.361538462,5.7
E01000385,4,31.2,0.281818182,9.3
E01000386,6,26.4,0.409711684,11.6
E01000387,1,49.9,0.241100324,4.7
E01000388,1,28.9,0.249597424,3.4
E01000389,4,37.3,0.301120448,4.3
E01000390,4,23.7,0.273786408,3.9
E01000391,1,36.7,0.218944099,5.2
E01000392,3,74.5,0.326618705,9.9
E01000393,1,57.2,0.2734375,4.6
E01000394,2,61.5,0.314102564,2.7
E01000395,2,44.5,0.172344689,3.9
E01000396,2,63.9,0.199211045,3.5
E01000398,3,68.4,0.232405892,8.5
E01000399,2,53.3,0.274636511,5.5
E01000400,1,54.9,0.247457627,5.1
E01000401,5,61,0.301412873,6.3
E01000402,2,49.2,0.340909091,8.1
E01000403,2,33.7,0.406060606,9.3
E01000404,3,131.3,0.346193952,10.9
E01000405,2,36.4,0.27394636,9.8
E01000406,1,38.5,0.244107744,6.6
E01000407,4,34.2,0.33968254,5.4
E01000408,1,15,0.203508772,9.6
E01000409,1,72.8,0.208012327,4.7
E01000410,1,57.5,0.220538721,5.5
E01000411,1,73.2,0.234119782,4.7
E01000412,1,68.4,0.231012658,4.1
E01000413,1,62.9,0.22970297,5.7
E01000414,3,58,0.305637982,7.2
E01000415,2,65.6,0.162109375,4.5
E01000416,2,86.7,0.208897485,9.5
E01000417,3,22,0.302945302,7.5
E01000418,1,37.6,0.283819629,6.9
E01000419,1,55.4,0.257575758,4.2
E01000420,1,56.5,0.226821192,3.3
E01000421,1,51.4,0.262023217,3.2
E01000422,2,165.9,0.345080764,16.1
E01000423,1,57.8,0.198686371,3.4
E01000424,4,43.9,0.368627451,3.8
E01000425,7,47.8,0.16779661,4.6
E01000426,2,65.4,0.301966292,4.9
E01000427,2,47.4,0.403470716,5.6
E01000428,9,19.6,0.529478458,5.9
E01000429,6,52.9,0.38108484,13.9
E01000430,2,11.8,0.235988201,8.7
E01000431,5,114.1,0.309838473,16.1
E01000432,2,36.3,0.271875,9.5
E01000433,3,58.2,0.291666667,12
E01000434,5,10.2,0.275167785,11.1
E01000435,5,80.2,0.314907873,9.1
E01000436,1,60.8,0.157723577,3.7
E01000437,1,49.7,0.246987952,5.5
E01000438,1,87.3,0.213689482,5.5
E01000439,2,54.2,0.211693548,5.5
E01000440,1,58.5,0.185686654,3.6
E01000441,5,67.9,0.291666667,7.4
E01000442,1,52.5,0.250798722,4.5
E01000443,2,46.6,0.278431373,5.4
E01000444,1,11.9,0.194888179,4.1
E01000445,1,27.8,0.264919942,3.3
E01000446,1,56.1,0.200996678,2.8
E01000447,1,15.5,0.381486676,4.4
E01000448,1,29.3,0.158730159,3.6
E01000449,1,32.7,0.324074074,2.9
E01000450,3,79.9,0.221705426,6.7
E01000451,1,81.6,0.194847021,5.2
E01000452,1,89.6,0.175757576,4.3
E01000453,1,70,0.171539961,4.4
E01000454,2,76.6,0.286624204,4.8
E01000455,1,64.8,0.18677686,4.1
E01000456,1,84.5,0.141683778,3.9
E01000457,2,59.9,0.420606061,5.1
E01000458,1,43.2,0.331220285,3.3
E01000459,3,54.4,0.43021767,5.5
E01000460,1,26.2,0.164658635,3.5
E01000461,1,30.7,0.133567663,2.9
E01000462,8,35.5,0.405149051,3.7
E01000463,1,53.2,0.159292035,3.6
E01000464,3,99.2,0.326007326,11.9
E01000465,5,57.5,0.43281471,15.3
E01000466,2,7,0.312292359,14.2
E01000467,2,95.1,0.260575296,11.9
E01000468,1,92.8,0.194382022,8.4
E01000469,2,43.6,0.291472868,10.3
E01000470,3,40,0.347457627,14.3
E01000471,1,117.8,0.140724947,6.3
E01000472,1,31.1,0.28515625,6.7
E01000473,1,108.5,0.188461538,7
E01000474,1,101.7,0.129740519,7
E01000475,1,63.3,0.17114094,7.4
E01000476,1,71.2,0.123076923,7.1
E01000477,1,49.8,0.260670732,7.1
E01000478,1,85.4,0.143176734,5.9
E01000479,1,52.8,0.2,6
E01000480,1,58.7,0.170093458,5.3
E01000481,1,60.5,0.303278689,11
E01000482,3,84.4,0.29233871,9.7
E01000483,2,77.3,0.297045101,13.4
E01000484,3,39.4,0.262411348,9.9
E01000485,6,77.4,0.284836066,7.1
E01000486,1,22.9,0.186090226,7.3
E01000487,1,61.6,0.302670623,7.2
E01000488,1,96.9,0.234521576,6.6
E01000489,1,49.5,0.303541315,4.8
E01000490,5,121.6,0.401524778,5.5
E01000491,2,53.7,0.368486352,6.4
E01000492,1,83.1,0.248394004,5.8
E01000493,1,87.4,0.223183391,7.6
E01000494,4,79.3,0.388121547,9.6
E01000495,8,91.6,0.535294118,7.3
E01000497,1,58.2,0.249146758,9.4
E01000498,1,59,0.168490153,9.8
E01000499,1,32.8,0.138,10.2
E01000501,3,116.7,0.313351499,11.2
E01000502,1,37,0.253863135,7.8
E01000503,2,48.6,0.27184466,8
E01000504,3,115.5,0.328402367,5.1
E01000505,2,106.1,0.236190476,9.2
E01000506,3,56.9,0.333333333,11.6
E01000507,1,70.7,0.159448819,8
E01000508,3,85.7,0.317039106,14.3
E01000509,1,112,0.202325581,9.6
E01000510,1,95.1,0.196998124,7.1
